term,definition
two call system,For incall locations. Your first call is to set up the time and get the general directions on where to park. Your second call is made when you arrive to get the specific address / room number.
outcall,"She comes to your place, home, hotel room."
incall,"You go to her place, or a place she designates."
$$$.5,$350 (get it?)
$$$,$300
$$,$200
$,$100
69,two people giving each other oral sex at the same time
420,4:20 = marijuana
411,seeking information
1/2 and 1/2,half and half = oral sex + full service
YMMV,"Your mileage may vary. Your service level could be different than reported by others. Applies to everyone, some more so than others."
XOXO,Kisses & Hugs
WTF,What the fuck? (I'm rather surprised by this)
UTR,"under the radar, does not advertise"
UTF,Untranslated French = BBBJ
TV, transvestite
TUMA, tongue up my ass
TS, transexual
TOFTT," Take one for the team. In reference to a new, non-reviewed provider."
Trolling, Posting thinly disguised ads in a discussion forum
Troll, rude and hideous PL
Trip to islands, greek anal sex
tossing salad, analingus
TLD, topless lap dance
TLC, tender loving care
TL," Tenderloin district, San Francisco. between Van Ness Ave, Post St, Taylor St, and Golden Gate Ave"
TJ," Tijuana, Mexico"
Tina, crystal meth
TIA, thanks in advance
TGTBT, too good to be true
TG, transgender
teabag, man squats and dips balls in partner's mouth
TAMP, Therapeutic Asian Massage Parlor
SW,street walker
stroll,path frequented by street walkers
STD,sexually transmitted disease
starfish,"anus, or girl that is unresponsive in bed"
spinner,"very petite, thin girl"
spanish,ATM = ass to mouth
SPA,"streetwalker stroll: San Pablo Avenue in Oakland, CA"
SP,Service Provider
southern france,BBBJ
south of the border,gential region
SOMF,sat on my face
SOG,shot on goal = one release
SO,significant other
shill,an insider posing as a satisfied customer
SF,San Francisco
semi-pro,someone who escorts informally as a side business.
self-service,you masturbate
SC,Strip Club
Russian,penis rubbing between breasts = Pearl Necklace = titty fuck
RPG,role playing games
Roman shower,vomit play
ROB,Rip Off Bitch
RMP,Russian Massage Parlor
rimming,analingus
Reverse massage,you massage her
Reverse cowgirl,RCG = girl on top facing away
raincoat,condom
RA,"relaxation assistant, masseuse in a massage parlor"
PYT,pretty young thing
PV,private viewing (Dance)
PSE,Porn Star Experience
PS,private show (Dance)
PO,phone operator (for making appointments)
PM,prostate massage or private message (inbox)
PL,Pathetic Loser
PIV,penis in vagina
party hat,condom
papasan,male manager of a massage parlor
P2P,"private to private, typically uncovered, rubbing of penis with vagina without penetration"
OWOTC,oral without condom to completion
OWO,oral without condom
 OP,"original poster, original post"
NSA,no strings attached
NP,no problem
non-pro,"civilian, not a professional provider"
NCT,"New Century Theatre, San Francisco Strip Club"
MSOG,multiple shots on goal = multiple releases
MSC,"Market Street Cinema, San Francisco Strip Club"
MP,multiple pops = multiple releases
MP,massage parlor
monty,streetwalker stroll: Monterey/1st St San Jose CA
mohawk,thin rectangular strip of pubic hair
Missionary,"man on top, girl on back"
Mish,"missionary position, or the SF Mission District"
MILF,mom I'd like to f-ck
MBR,multiple bell ringing = MSOG
MBOT,"Mitchell Brothers O'Farrell Theatre, San Francisco Strip Club"
mamasan,female manager of a massage parlor
LPIN,legal prostitute in Nevada
LOS,land of smiles = Thailand
LMP,latina massage parlor
LK,"light kissing, closed mouth"
LE,ellie = law enforcement
LDL,low dollar looker (opposite of HDH)
LD,lap dance
Lapdog,person who worships providers to excess.
kitty,vagina (Bald=clean shaven; Partly Shaved=landing strip; Trimmed = manicured; Natural)
KGFE,"Korean GFE, usually RBGFE except with CBJ"
ISO,in search of
Italian,penis rubbing between butt cheeks
interpreter,condom
IMHO,in my humble opinion
hooker,prostitute
HWP,height and weight proportionate
HME,"honeymoon experience, lapdog heaven"
HM,high mileage
HH,half hour
HJ,hand job = a manual / hand release
HE,happy ending
HDH,high dollar hottie
Hat,condom
hardwood floors,clean shaven kitty
happy ending,A handjob (usually) or blowjob after your massage
GSM,g-spot massage
GS,golden shower = urination play
Greek,"anal sex, back door"
GND,girl next door
GG,"Golden Gypsy. defunct, famous Berkeley massage parlor"
GFE++,"RBGFE with extras (like CIM, swallow, greek)"
GFE lite,"Lite-GFE = SafeGFE = light RBGFE, = RBGFE with substitutions: CBJ vs BBBJ and sometimes no/light kissing vs DFK."
GFE,"girlfriend experience, doesn't mean anything these days. RBGFE = BBBJ, CFS, DFK, DATY, and MSOG"
Get Comfortable,get completely naked
Get Brain,"blow job
"
FDAU,face down ass up
FS,full service = BJ + Sex
French Kiss,Kissing with tongue insertion
French,BJ
FOV,finger outside vagina
FOB,fresh off the boat. Asian immigrant recently arrived in the US.
FKK,Frei Korper Kultur. German brothel / nudist club.
FIV,finger in vagina
FIR,finger in rear
fire and ice,a blowjob switching between hot tea and ice
FIA,finger in ass
FBSM+,"FBSM + bonus, usually BJ"
FBSM,"full body sensual massage, typically includes HJ"
facial,cumming on partner's face
escort,a temporary companion for hire
EOM,end of message. No text in message body.
ECR,el camino real
DT,"deep throat, entire length of penis taken in mouth"
DP,"double penetration, two guys on one girl"
DIY,do it yourself (masturbation)
DFK,"deep french kissing, open mouth with tongue"
DDG,drop dead gorgeous
DDE,doesn't do extras (PS only)
Doubles,A threesome with two girls and you
donation,payment
Doggie,"man behind girl, girl on hands and knees"
Dodge,"streetwalker stroll: Mission Blvd, between A St and 14th St, see 22500 Mission Blvd, Hayward, CA"
DSL,dick sucking lips
DS,doggy style
DDP,"double digit penetration, kitty and anus"
DATY,dining at the y = cunnilingus
DATO,dining at the o = analingus
DAP,digital anal probe = finger in anus
cups of coffee,releases = orgasms
cruising,"driving around, looking for streetwalkers"
cover,condom
Cowgirl,CG = girl on top facing you
CMT,Certified Massage Therapist. A professional masseuse.
CMD,"carpet matches drapes, typically a natural blonde"
CL,craigslist.org
CIM,cum in mouth
CH,"Crazy Horse, San Francisco Strip Club"
CG,cowgirl = girl on top facing you
CFS,covered full service = Sex with condom
CDS,covered doggy style
CD,cross dresser
CC Rider,full service provider costing $200 or less
CBJ,covered blow job = BJ with condom
cash and dash,ROB who takes your money then runs
BYOC,Bring your Own Condom
BTW,by the way
butter face,"everything looks good, 'but her' face"
BSB,bus stop babe
blue pill,Viagra
Blue Jay,blow job
BLS,ball licking and sucking
birdwatching,BBBJTCWS
BFE,boy friend experience
BF,boy friend
BDSM,"bondage, discipline, sado-masochism."
BCD,behind closed doors.
BBW,big beautiful woman.
BBK,big beautiful knockers.
BBFS,bare back sex.
BBBJWF,bare back blow job with facial.
BBBJTCWS,bare back blow job to completion with swallow.
BBBJTCNQNS,"bare back blow job to completion, no quit, no spit."
BBBJTCIM,bare back blow job to completion in mouth.
BBBJTC,bare back blow job to completion (in mouth).
BBBJ,"bare back blow job = BJ without condom, beebeebeejay."
BJ,blowjob = oral sex = fellatio.
BB,bareback = without condom.
balloons,breast implants.
babyback,"petite, young, attractive Asian."
B&S, bait and switch = person who shows up is a different one than advertised.
Aunt Flo," menstruation, period."
attempts, trying to orgasm.
ATM," ass to mouth - penis, toy, finger goes from ass to mouth."
ATF, all time favorite
ASP," Adult Service Provider, or alt.sex.prostitution newsgroup"
Asian Cowgirl," girl on top, squatting"
Asian, analingus
AO AMP, AMP servicing Asian clients only
AO, Asian Only. 
analingus, licking anus
AMP, Asian Massage Parlor. A retail establishment staffed by Asians.
Agency," a company that manages calls, bookings, and advertising for a group of escorts."
ABJ, american born japanese
ABC, american born chinese
AAMP, Apartment Asian Massage Parlor. Based in a residential apartment instead of a commercial storefront.
